tweet,date,weekStarting
@CardonicCards Something tells us this won't be the last we hear from you.,2016-04-25,2016-04-24
Don't follow the crowd. Be the reason why they came. #heardinthehustle,2016-04-25,2016-04-24
@AGirlsHipHop If your night doesn't start with Seagram's Gin you might be doing it wrong.,2016-04-26,2016-04-24
@andrewrpowell Great taste. Something we both have in common.,2016-04-28,2016-04-24
What are you working for today? #heardinthehustle,2016-04-29,2016-04-24
You can never do wrong when you do you. #heardinthehustle,2016-04-29,2016-04-24
We see you. #heardinthehustle,2016-04-29,2016-04-24
Keep with it. #heardinthehustle,2016-04-29,2016-04-24
Come through.,2016-04-29,2016-04-24
Always look the part. #heardinthehustle,2016-04-29,2016-04-24
The only way to go about it. #heardinthehustle,2016-04-29,2016-04-24
@choc_skittles We hear peach is having a moment rn.,2016-05-02,2016-05-01
@almostkanye Never goes out of style.,2016-05-02,2016-05-01
@CliffHuxtaLO Mixes with just about anything.,2016-05-03,2016-05-01
@Kingslim05Big Earned it.,2016-05-03,2016-05-01
Sometimes the journey is as exciting as the result. #heardinthehustle,2016-05-04,2016-05-01
Learn to appreciate the storm like you would sunny weather. #heardinthehustle,2016-05-10,2016-05-08
@BrianWhitehurst Sometimes it's good to mix it up.,2016-05-11,2016-05-08
@KarenCivil We'll toast to that.,2016-05-11,2016-05-08
@Reeves_M10 Don't forget the lime,2016-05-11,2016-05-08
@AveStLo You’re in good company.,2016-05-11,2016-05-08
@jasonskirk Let's hang out more often.,2016-05-11,2016-05-08
@PurpleNGoldFan Great tastes think alike. Locate your nearest store here,2016-05-11,2016-05-08
@GooBrown Hit us up on DM with details &amp; contact info.,2016-05-13,2016-05-08
@ScrausScraus We like the way you think.,2016-05-13,2016-05-08
@Alamagoozlum You're in good company.,2016-05-16,2016-05-15
@HEIR_less It's what's on the inside that counts.,2016-05-19,2016-05-15
"When you believe you belong, no one will ever question your attendance. #heardinthehustle",2016-05-20,2016-05-15
"If you want to be the life of the party, remember to bring your cell phone charger. #prosonly",2016-05-27,2016-05-22
Don’t stop when you’re tired. Stop when you’re done. #heardinthehustle,2016-05-31,2016-05-29
@Therealkp93 We like your style.,2016-05-31,2016-05-29
#DifferentIsWhen you surprise your host with a much-needed drink refill. #prosonly,2016-06-07,2016-06-05
#DifferentIsWhen you realize the only moment that matters is the one you’re living in right now. #heardinthehustle,2016-06-08,2016-06-05
@GooBrown Done,2016-06-08,2016-06-05
??,2016-06-10,2016-06-05
Don’t play by the rules – make them. #heardinthehustle,2016-06-13,2016-06-12
Keep a throwback playlist handy just in case you need to turn things up. #prosonly,2016-06-21,2016-06-19
#DifferentIsWhen you get it right on the first take. #prosonly,2016-06-23,2016-06-19
Weekend rewind. #LoungeSG #BETAwards2016,2016-06-27,2016-06-26
@drineee Let's hang out more often.,2016-06-27,2016-06-26
Have purpose when others have opinions. #heardinthehustle,2016-06-29,2016-06-26
Your plans tonight? Solved.,2014-08-31,2014-08-31
"Looking good, ladies! See more of the lovely #LadiesofSG with your #Ginsider app.",2014-08-31,2014-08-31
"Retweet this toast to your followers. S/O @Official_Flo, a real #GINtleman",2014-09-04,2014-08-31
Retweet if you’d rather be at the beach! S/O @Conchedia #LadiesOfSG,2014-09-05,2014-08-31
"Fill in the blank: A Pineapple Twist is Seagram’s Pineapple, sour mix and _____ ?",2014-09-06,2014-08-31
"Retweet today’s #SaturdaySpecial: Pineapple Twisted Gin, sour mix and LEMONADE!",2014-09-07,2014-09-07
Share a photo of you w/ Seagram’s Gin for a chance to be #FanOfTheWeek!,2014-09-07,2014-09-07
This martini has an electric hue of blue! Can you name it? #MondayMix,2014-09-08,2014-09-07
"Happy birthday to a real #GINtleman, @wizkhalifa!",2014-09-09,2014-09-07
It’s the Twisted Grape cocktail with a red grape garnish. Name this cocktail! #TwistedTuesday,2014-09-09,2014-09-07
Celebrate the bowl games like a champion with a Tiger Pineapple Twist! Here’s the recipe. #GinItToWinIt,2014-09-11,2014-09-07
Retweet if you’re ready for the New Orleans college bowl game action! #GinItToWinIt,2014-09-11,2014-09-07
Be the first to see exclusive content. Download the Ginsider app!,2014-09-11,2014-09-07
Cheers to the winners with a Texan Peach Fizz cocktail! Here's the recipe here! #GinItToWinIt,2014-09-12,2014-09-07
Are you ready to #GinItToWinIt this weekend? Tweet us your game day photos with #GinItToWinIt and we’ll share our favs.,2014-09-12,2014-09-07
RT @official_flo: Are you ready to meet the #GINtleman? Watch this!,2014-09-12,2014-09-07
"Fill in the blank: A Berry Peach Fizz is Seagram's Peach Twisted Gin, cranberry juice, and ___?",2014-09-13,2014-09-07
Make sure to hashtag your game day photos with #GinItToWinIt! We’ll RT our favs. Cheers!,2014-09-13,2014-09-07
RT @danielabbott18: @SeagramsGinUSA club soda,2014-09-14,2014-09-14
Tweet a photo of you w/ Seagram’s Gin for a chance to be #FanOfTheWeek!,2014-09-14,2014-09-14
Talk about your game plan tonight over a Conversation Cowboy cocktail. Here’s the recipe! #GinItToWinIt,2014-09-14,2014-09-14
"Name this cocktail made from our Pineapple Twisted Gin, pineapple juice, lime juice, and grape juice. #TwistedTuesday",2014-09-16,2014-09-14
Work hard. Stay humble.,2014-09-16,2014-09-14
RT @wizkhalifa: Seagrams on set.  @seagramsginusa,2014-09-17,2014-09-14
@Official_Flo is going to let you in on a secret to being a #GINtleman. Watch this:,2014-09-17,2014-09-14
The #GINtleman. cc: @Official_Flo!,2014-09-18,2014-09-14
It’s never a dull moment with the #LadiesOfSG!,2014-09-20,2014-09-14
"Fill in the blank: An Apple Gin Crush is 1 part Seagram's Apple Twisted Gin, 2 parts ___?",2014-09-20,2014-09-14
Tweet a photo of you w/ Seagram’s Gin for a chance to be #FanOfTheWeek!,2014-09-21,2014-09-21
