tweet,date,weekStarting
"Rock the Block Punch is the perfect #BlockParty punch. People of the neighborhood, unite! #Punch4Everybody #LaborDay",2015-09-02,2015-08-30
"This #LaborDay, cross S’mores off your #summer bucket list with the Toasted Mallow. #GoodbyeSummer",2015-09-04,2015-08-30
4-day weeks are pretty much over as soon as they start. Celebrate early with this delicious #EasyDrink. #GoinUp,2015-09-08,2015-09-06
RT @grandbabycake: Keep summer going with my @SmirnoffUS Tropical Punch! (,2015-09-09,2015-09-06
You know you’re #GameDayReady when you and your #SmirnoffICE Moscow Mule are decked out in #football colors.,2015-09-11,2015-09-06
"New Smirnoff Sours Berry Lemon, a.k.a. your tongue’s new favorite flavor couple. #MyFaceWhen #SourHour",2015-09-12,2015-09-06
"Summer ?? is setting and Autumn ? will soon fall. Try 2 #easydrinks, tasty during any season.",2015-09-14,2015-09-13
RT @nandita: Ginger Peach Moscow Mules = a perfect summer-to-fall cocktail for Labor Day!,2015-09-15,2015-09-13
You know you're #GamedayReady when you've got a solid #FantasyLineup and a solid-ish drink to celebrate it with.,2015-09-18,2015-09-13
This tasty ode to greatness is as memorable as your favorite shows and much easier to make. #AwardsNight #RedCarpet,2015-09-19,2015-09-13
Remember to make every night a good night. Remember to #TapDat...water tap. #DrinkResponsibly,2015-09-22,2015-09-20
"Physics is complicated. Making a delicious Newton’s Fall doesn’t have to be. Thanks, Gravity. #FirstDayOfFall",2015-09-23,2015-09-20
