item,sum_sale_liters,sum_sale_dollars
CHIVAS REGAL 12 YR,43417.5,1564449.52
LAUDER'S SCOTCH,43038.75,430668.03
THREE OLIVES VODKA,42213.75,694506.75
BLACK VELVET CINNAMON RUSH,42045.15,564057.26
JOSE CUERVO AUTHENTIC WATERMELON MARGARITA,41821.5,292028.4
PEARL CUCUMBER VODKA,41486.25,637324.7
MAUI BLUE HAWAIIAN SCHNAPPS,41318.5,289090.77
STOLICHNAYA RUSSIAN VODKA,41134.625,906454.17
PENDLETON CANADIAN WHISKY,41124.25,984484.14
PARAMOUNT LONG ISLAND ICED TEA,41029.75,271479.97
MARGARITAVILLE SKINNY MARGARITA,40972.75,230886.89
10 SILVER TEQUILA,40753.85,1209875.35
HORNITOS GOLD,40433.25,1025995.97
COINTREAU LIQUEUR,40286.625,1709209.03
NEW AMSTERDAM PINEAPPLE,40207.375,573620.49
CAPTAIN MORGAN WHITE,40135.5,671679.51
PARAMOUNT CHERRY FLAVORED BRANDY,39302.25,420802.05
EZRA BROOKS 50 MO KY SOUR MASH BOURBON,39170.25,493049.05
MYERS'S RUM DARK,39150.25,745734.94
CROWN ROYAL MAPLE,38658.5,1138483.8699999999
GENTLEMAN JACK,38604.25,1379160.89
ADMIRAL NELSON CHERRY SPICED RUM,38352.75,411822.57999999996
BACARDI OAKHEART,38172.75,569048.49
UV GREEN (APPLE) VODKA,38094.0,489569.82
JOSE CUERVO ESPECIAL REPOSADO FLASK,38071.125,837199.03
CHI-CHI'S PINA COLADA W RUM,37801.75,204363.35
SMIRNOFF RASPBERRY,37762.5,603764.14
ROMANA SAMBUCA ITALIAN LIQUORE,37492.5,975743.91
MARGARITAVILLE GOLD TEQUILA,37483.5,513179.64
G & W BOURBON,36542.5,282236.07
MALIBU PINEAPPLE RUM,36519.0,536470.68
MCCORMICK GIN,36510.25,225074.45
OLD ST. NICK''S EGG NOG,36448.25,262855.31
WOODFORD RESERVE BOURBON,36374.25,1514308.28
SEAGRAMS 7 CROWN FLASK,35999.25,492869.91
RONRICO SILVER LABEL RUM (PR),35938.0,226392.33
PEARL VODKA,35507.0,412363.57
REMY MARTIN VSOP (FLASK),35028.0,1454555.6
STOLICHNAYA RAZBERI VODKA 75,34940.0,851086.02
PASSPORT SCOTCH,34791.75,427876.71
MONTEZUMA BLUE,34633.0,232307.13
JIM BEAM HONEY,34609.8,699085.46
CRUZAN BLACK CHERRY RUM,34455.75,461272.63
CAPTAIN MORGAN BLACK SPICED,34365.75,756046.5
KNOB CREEK,34312.5,1364748.48
HENDRICK'S GIN,33940.75,1164634.42
BARTENDERS HOT SEX,33839.5,268233.89
SMIRNOFF VANILLA VODKA,33746.5,522019.14
BULLEIT BOURBON,33714.625,1078634.96
BELVEDERE VODKA,33519.05,1077354.69
CAPTAIN MORGAN PARROT BAY COCONUT,33474.5,489767.42
THREE OLIVES LOOPY FLAVORED VODKA,33455.25,716946.86
JOSE CUERVO ESPECIAL REPOSADO,33397.5,734419.63
ARROW PEACH SCHNAPPS,33367.25,253411.03
CHI-CHI'S LONG ISLAND ICED TEA,33307.75,180291.71
DEKUYPER BLUSTERY PEPPERMINT BURST SCHNAPPS,33258.0,211550.28
MARGARITAVILLE CLASSIC LIME MARGARITA,32940.25,185763.95
PARAMOUNT STRAWBERRY SCHNAPPS,32754.0,279107.99
UV BLUE RASPBERRY VODKA,32388.5,442758.25
EL JIMADOR REPOSADO TEQUILA,32288.5,713726.53
UV BLUE RASPBERRY LEMONADE,32194.75,176719.17
SEAGRAMS LIME TWISTED GIN,32118.75,400434.02
DI AMORE AMARETTO,31957.5,383267.6
PAUL MASSON PEACH GRANDE AMBER BRANDY,31769.25,408196.62
BUFFALO TRACE BOURBON,31625.25,792678.93
ARROW RASPBERRY SCHNAPPS,31534.25,236789.59
THREE OLIVES CHERRY VODKA,31521.75,652526.59
SMIRNOFF KISSED CARAMEL,31334.75,511266.05
PATRON SILVER TEQUILA,30600.125,1750185.25
DEKUYPER SIGNATURE BLUE CURACAO,30549.75,320775.1
VINIQ,30408.0,628071.0
UV IVORY (VANILLA) VODKA,29908.5,384419.87
