weekStarting,Brand,Sum_sum_sale_liters,Sum_sum_sale_dollars
2012-03-25,Captain Morgan,14623.725,235996.75
2012-03-25,Crown Royal,6431.675,177953.31
2012-03-25,Fireball,2071.25,33652.6
2012-03-25,Five,13912.3,88488.9900000001
2012-03-25,Five Star,3239.075,21578.88
2012-03-25,Hawkeye,22486.625,141312.52
2012-03-25,Jack Daniels,6267.1,155708.01
2012-03-25,Jagermeister,3653.2,84156.47
2012-03-25,Jim Beam,3721.05,64756.55
2012-03-25,McCormick,236,1840.03
2012-03-25,Paramount,13906.125,99188.8100000001
2012-03-25,Phillips,6292.75,40258.15
2012-03-25,Seagrams,7796.375,89134.7299999999
2012-03-25,Smirnoff,8837.75,124601.21
2012-04-01,Absolut,5491.725,113868.7
2012-04-01,Admiral Nelson,3780.975,39958.22
2012-04-01,Bacardi,9637.454,135824.98
2012-04-01,Barton,8339.5,49700.5900000001
2012-04-01,Black Velvet,16519.15,159876.86
2012-04-01,Canadian,21482.975,290982.130000001
2012-04-01,Captain Morgan,18713.75,298226.89
2012-04-01,Crown Royal,7454.475,208816.2
2012-04-01,Fireball,2370,38310.04
2012-04-01,Five,15613.45,99608.39
2012-04-01,Five Star,3635.1,24231.09
2012-04-01,Hawkeye,15624.375,99183.4299999998
2012-04-01,Jack Daniels,9385.025,232926.53
2012-04-01,Jagermeister,4316.1,98983.5
2012-04-01,Jim Beam,4141.425,74380.26
2012-04-01,McCormick,209.25,1560.72
2012-04-01,Paramount,15802.5,111932.93
2012-04-01,Phillips,8321.125,52994.73
2012-04-01,Seagrams,10013.575,112276.79
2012-04-01,Smirnoff,8861.325,128536.1
2012-04-08,Absolut,6703.45,133279.66
2012-04-08,Admiral Nelson,4190.15,44408.8299999999
2012-04-08,Bacardi,8846.996,123604.24
2012-04-08,Barton,7100.75,42286.01
2012-04-08,Black Velvet,15602.275,151467.95
2012-04-08,Canadian,16308.4,217326.91
2012-04-08,Captain Morgan,19365.325,302710.15
2012-04-08,Crown Royal,6197.65,174494.45
2012-04-08,Fireball,3855.625,63180.12
2012-04-08,Five,14597.025,93597.2800000001
2012-04-08,Five Star,3343.075,22262.44
2012-04-08,Hawkeye,15325.5,97280.5999999999
2012-04-08,Jack Daniels,10325.375,255893.22
2012-04-08,Jagermeister,8233.45,186704.93
2012-04-08,Jim Beam,3790.775,68786.3500000001
2012-04-08,McCormick,261.75,2088.18
2012-04-08,Paramount,15701.875,110538.32
2012-04-08,Phillips,10479.625,66781.03
2012-04-08,Seagrams,8086.975,92183.4500000001
2012-04-08,Smirnoff,7427.325,106953.94
2012-04-15,Absolut,5384.35,114691.01
2012-04-15,Admiral Nelson,4370.75,46182.1799999999
2012-04-15,Bacardi,9345.34,134709.42
2012-04-15,Barton,9126.5,54359.45
2012-04-15,Black Velvet,17210.075,166241.86
2012-04-15,Canadian,20609.55,298508.150000001
2012-04-15,Captain Morgan,24919.975,387558.17
