weekStarting,Brand,Sum_sum_sale_liters,Sum_sum_sale_dollars,TweetCount
2013-06-02,Seagrams,7030.4,85491.9600000002,3
2013-06-02,Smirnoff,7798.075,118877.67,11
2013-06-09,Admiral Nelson,6651.875,69563.0999999999,1
2013-06-09,Crown Royal,8522.875,245472.27,31
2013-06-09,Jagermeister,5092.825,121844.17,17
2013-06-09,Seagrams,11419.65,137039.23,3
2013-06-09,Smirnoff,15243.975,223897.22,14
2013-06-16,Crown Royal,3104.875,89584.0700000001,32
2013-06-16,Jack Daniels,2466.025,65049.43,1
2013-06-16,Jagermeister,1426.975,34271.71,16
2013-06-16,Seagrams,4541.425,53058.41,5
2013-06-16,Smirnoff,6469.1,91640.7300000001,14
2013-06-23,Absolut,11585.325,247732.92,1
2013-06-23,Crown Royal,8343.875,243327.73,42
2013-06-23,Jack Daniels,8339.85,221249.05,1
2013-06-23,Jagermeister,4653.525,112002.27,12
2013-06-23,Seagrams,9571.025,115984.95,32
2013-06-23,Smirnoff,11989.3,180724.04,15
2013-06-30,Admiral Nelson,3800.75,40291.6099999999,2
2013-06-30,Crown Royal,5869.65000000001,169623.34,28
2013-06-30,Jack Daniels,7318.175,192596.44,4
2013-06-30,Jagermeister,4134.275,98598.9900000001,7
2013-06-30,Seagrams,8387.5,101710.1,16
2013-06-30,Smirnoff,10751.275,163704.13,27
2013-07-07,Admiral Nelson,3691.75,38805.4299999999,3
2013-07-07,Crown Royal,5524.12500000001,160662.09,33
2013-07-07,Jack Daniels,10563.175,275368.16,8
2013-07-07,Jagermeister,3008.8,72447.9800000001,21
2013-07-07,Seagrams,7779.775,94478.68,13
2013-07-07,Smirnoff,10161.025,154659.4,10
2013-07-14,Admiral Nelson,4303.25,45634.3599999999,3
2013-07-14,Crown Royal,4554.975,134332.77,20
2013-07-14,Jack Daniels,5397.9,142136,1
2013-07-14,Jagermeister,3732.225,89995.5900000001,13
2013-07-14,Seagrams,8046.2,96759.5400000001,4
2013-07-14,Smirnoff,10648.825,161529.74,12
2013-07-21,Admiral Nelson,3986.25,42246.0799999999,3
2013-07-21,Crown Royal,5278.225,152589.98,65
