eventdate,ActionGeo_FullName,tone,ActionGeo_Lat,ActionGeo_Long,geo,city,eventweek
2012-01-25,"Greene County, Iowa, United States",0.7162646700432658,42.0333,-94.4002,"42.0333,-94.4002",JEFFERSON,2012-01-22
2012-01-25,"Windsor Heights, Iowa, United States",7.26102941176471,41.5978,-93.7083,"41.5978,-93.7083",WINDSOR HEIGHTS,2012-01-22
2012-01-25,"Rock Valley, Iowa, United States",5.24642289348172,43.2053,-96.295,"43.2053,-96.295",ROCK VALLEY,2012-01-22
2012-01-25,"Anamosa, Iowa, United States",3.26530612244898,42.1083,-91.2852,"42.1083,-91.2852",ANAMOSA,2012-01-22
2012-01-25,"Lutheran Church, Iowa, United States",1.0462204462204459,42.735,-93.7341,"42.735,-93.7341",CLARION,2012-01-22
2012-01-25,"Dubuque County, Iowa, United States",0.0825763831544179,42.4833,-90.8668,"42.4833,-90.8668",PEOSTA,2012-01-22
2012-01-25,"Bettendorf, Iowa, United States",0.8922595039903897,41.5245,-90.5157,"41.5245,-90.5157",BETTENDORF,2012-01-22
2012-01-25,"Briar Cliff University, Iowa, United States",2.842105263157895,42.5267,-96.4261,"42.5267,-96.4261",SIOUX CITY,2012-01-22
2012-01-25,"Northeast Iowa Community College, Iowa, United States",6.85859441151566,43.1753,-91.8665,"43.1753,-91.8665",FORT ATKINSON,2012-01-22
2012-01-25,"Sioux City, Iowa, United States",0.17122748295372367,42.5,-96.4003,"42.5,-96.4003",SIOUX CITY,2012-01-22
2012-01-25,"Clinton Community College, Iowa, United States",5.617977528089889,41.8342,-90.2112,"41.8342,-90.2112",CLINTON,2012-01-22
2012-01-25,"Boone County, Iowa, United States",0.9478672985781998,42.0333,-93.9336,"42.0333,-93.9336",BOONE,2012-01-22
2012-01-25,"Macedonia, Iowa, United States",0.8554682628756708,41.1928,-95.4256,"41.1928,-95.4256",OAKLAND,2012-01-22
2012-01-26,"Rock Valley, Iowa, United States",2.8682170542635648,43.2053,-96.295,"43.2053,-96.295",ROCK VALLEY,2012-01-22
2012-01-26,"Tiffin, Iowa, United States",2.70979020979021,41.7058,-91.6629,"41.7058,-91.6629",TIFFIN,2012-01-22
2012-01-26,"Oelwein, Iowa, United States",0.8032615132771483,42.6733,-91.9135,"42.6733,-91.9135",OELWEIN,2012-01-22
2012-01-26,"Cedar Rapids, Iowa, United States",0.26085546363849377,42.0083,-91.6441,"42.0083,-91.6441",CEDAR RAPIDS,2012-01-22
2012-01-26,"Wapello County, Iowa, United States",1.85185185185185,41.0333,-92.4169,"41.0333,-92.4169",OTTUMWA,2012-01-22
2012-01-26,"Southeast Polk High School, Iowa, United States",6.26631853785901,41.5992,-93.43799999999999,"41.5992,-93.43799999999999",ALTOONA,2012-01-22
2012-01-26,"Jasper County, Iowa, United States",0.31496062992126,41.6833,-93.0502,"41.6833,-93.0502",NEWTON,2012-01-22
2012-01-27,"Playland Park, Iowa, United States",3.2934131736527004,41.2625,-95.917,"41.2625,-95.917",CARTER LAKE,2012-01-22
2012-01-27,"State Center, Iowa, United States",1.85185185185185,42.0167,-93.1635,"42.0167,-93.1635",STATE CENTER,2012-01-22
2012-01-27,"Hiawatha, Iowa, United States",0.6024096385542174,42.0358,-91.6821,"42.0358,-91.6821",HIAWATHA,2012-01-22
2012-01-28,"Cedar Rapids, Iowa, United States",1.594224231495391,42.0083,-91.6441,"42.0083,-91.6441",CEDAR RAPIDS,2012-01-22
2012-01-28,"Denver, Iowa, United States",5.86370839936609,42.6714,-92.3374,"42.6714,-92.3374",DENVER,2012-01-22
2012-01-29,"Cedar Valley, Iowa, United States",3.377386196769455,41.7264,-91.2466,"41.7264,-91.2466",WEST BRANCH,2012-01-29
2012-01-29,"Centerville High School, Iowa, United States",1.5564202334630348,40.7292,-92.8763,"40.7292,-92.8763",CENTERVILLE,2012-01-29
2012-01-29,"Riverdale, Iowa, United States",1.6187259811342702,41.5445,-90.4582,"41.5445,-90.4582",BETTENDORF,2012-01-29
2012-01-29,"Clinton County, Iowa, United States",0.626427268292739,41.8834,-90.5501,"41.8834,-90.5501",DE WITT,2012-01-29
